"artist"	"song"	"rank"	"chord"
"陳勢安 Andrew Tan"	"天后"	"1"	"A,A,A,A,D,D,D,A,A,F#m,F#m,F#m,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Abm,Abm,Abm,Abm,F#m,F#m,F#m,F#m,E,E,E,E,D,D,D,D,D,A,A,E,E,Bm,Bm,E,E,D,D,E,E,A,A,A,A,Abm,Abm,A,A,F#m,F#m,F#m,F#m,E,E,E,E,E,E,D,D,D,D,D,D,Dbm,Dbm,A,A,A,A,B,B,B,B,B,B,B,B,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,E,E,E,E,Ab,Ab,Ab,Ab,F#m,F#m,F#m,F#m,F#m,F#m,F#m,F#m,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,Bm,Bm,Bm,Bm,Bm,Bm,Bm,Bm,E,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,E,E,E,E,E,E,E,E,F#m,F#m,F#m,F#m,F#m,F#m,F#m,F#m,E,E,E,E,E,E,B,B,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,Bm,Bm,Bm,Bm,Bm,Bm,Bm,Bm,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,E,E,E,E,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Abm,Abm,Abm,Abm,Abm,Abm,Abm,Abm,F#m,F#m,F#m,F#m,F#m,F#m,F#m,F#m,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,Dbm,Dbm,Dbm,Dbm,Dbm,Dbm,Dbm,Dbm,Bm,Bm,Bm,Bm,Bm,Bm,Bm,Bm,E,E,E,E,E,E,A,A,A,A,A,A,A,A,A,A,E,E,E,E,A,A,E,E,F#m,F#m,F#m,F#m,F#m,F#m,F#m,F#m,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,A,A,A,A,Dbm,Dbm,F#m,F#m,Bm,Bm,Bm,Bm,Bm,Bm,Bm,Bm,E,E,E,E,E,E,F#m,F#m,A,A,A,A,A,A,A,A,E,E,E,Abm,Abm,Abm,Abm,A,F#m,F#m,F#m,F#m,F#m,F#m,F#m,F#m,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,E,E,E,E,E,E,Bm,Bm,F#,F#,F#,F#,F#,F#,F#,F#,Db,Db,Db,Db,Db,Db,Db,Db,Ebm,Ebm,Ebm,Ebm,Ebm,Ebm,Ebm,Ebm,B,B,B,B,B,B,B,B,F#,F#,F#,F#,F#,F#,F#,F#,Db,Db,Db,Db,Db,Db,Db,Db,Ebm,Ebm,Ebm,Ebm,Ebm,Ebm,Ebm,Ebm,E,E,E,E,E,E,A,A,A,A,A,A,A,A,A,A,E,E,E,E,E,E,E,E,F#m,F#m,F#m,F#m,F#m,F#m,F#m,F#m,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,Bm,Bm,Bm,Bm,Bm,Bm,Bm,Bm,E,E,E,E,E,E,E,E,G,G,G,G,G,G,G,G,A,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A"
"陳芳語 Kimberley"	"愛你"	"2"	"A,A,A,A,F#,F#,F#,F#,D,D,D,D,E,E,E,E,A,A,A,A,F#m,F#m,F#m,F#m,D,D,D,D,D,D,D,D,A,A,A,A,F#m,F#m,F#m,F#m,D,D,E,E,E,E,E,E,A,A,A,A,F#m,F#m,F#m,F#m,D,D,D,D,D,D,D,D,A,A,A,A,F#m,F#m,F#m,F#m,F#m,D,D,D,D,A,E,E,A,A,A,A,A,A,A,A,F#m,F#m,F#m,F#m,D,D,D,D,A,A,A,A,E,E,E,E,F#m,F#m,F#m,F#m,D,D,D,D,A,A,A,A,E,E,E,E,F#m,F#m,F#m,F#m,D,D,D,D,A,A,A,A,E,E,E,E,Bm,Bm,Bm,Bm,A,A,A,A,D,D,D,D,E,E,E,E,A,A,A,A,F#m,F#m,F#m,F#m,D,D,D,D,D,D,D,D,A,A,A,A,F#m,F#m,F#m,F#m,D,D,D,D,E,E,E,E,A,A,A,A,F#m,F#m,F#m,F#m,D,D,D,D,D,D,D,D,A,A,A,A,F#m,F#m,F#m,F#m,D,D,D,D,E,E,E,E,A,A,A,A,F#m,F#m,F#m,F#m,D,D,D,D,D,D,D,D,A,A,A,A,F#m,F#m,F#m,F#m,F#m,D,D,D,D,A,E,E,A,A,A,A,A,A,A,A,F#m,F#m,F#m,F#m,D,D,D,D,A,A,A,A,E,E,E,E,F#m,F#m,F#m,F#m,A,A,A,A,A,A,A,A,E,E,E,E,F#m,F#m,F#m,F#m,D,D,D,D,A,A,A,A,E,E,E,E,Bm,Bm,Bm,Bm,A,A,A,A,D,D,D,D,E,E,E,E,A,A,A,A,A,A,A,A,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,Bm,Bm,Bm,Bm,Bm,Bm,Bm,Bm,A,A,Bm,Bm,A,A,A,A,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,Bm,Bm,Bm,Bm,Bm,Bm,Bm,Bm,D,D,Dbm,Dbm,Bm,Bm,Bm,Bm,F#m,F#m,F#m,F#m,D,D,D,D,A,A,A,A,E,E,E,E,F#m,F#m,F#m,F#m,A,A,A,A,A,A,A,A,E,E,E,E,F#m,F#m,F#m,F#m,D,D,D,D,A,A,A,A,A,A,A,A,Bm,Bm,Bm,Bm,A,A,A,A,D,D,D,D,E,E,E,E,Bm,Bm,Bm,Bm,A,A,A,A,D,D,D,D,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A"
"五月天 (Mayday)"	"我不願讓你一個人【三立「真愛找麻煩」片尾曲】"	"3"	"G,G,G,Am,Am,Am,Am,D,D,D,G,G,Am,Am,Bm,C,C,C,C,F#m,F#m,F#m,D,D,G,G,Dm,Dm,G,G,G,G,C,C,C,C,D,D,D,D,D,D,Bm,Bm,E,E,E,Am,Am,Em,Em,F#m,A,A,A,A,D,D,D,D,D,D,G,G,G,G,G,G,A,A,A,A,Bm,Bm,Bm,G,G,G,G,C,C,C,C,C,C,G,G,A,Am,Am,G,G,G,G,G,G,Dm,Dm,Dm,G,G,G,G,Em,C,C,C,C,Bm,D,D,D,D,Am,Am,F,D,D,D,D,G,G,G,G,D,D,D,D,G,G,G,G,Am,Am,Am,Am,D,D,D,D,G,G,G,G,C,C,C,C,C,C,G,G,Am,Am,Am,Am,G,G,G,G,D,D,D,D,G,G,G,G,C,C,C,C,Bm,Bm,D,D,Am,Am,C,C,D,D,D,D,G,G,Am,Am,G,G,G,G,C,C,C,C,D,D,D,D,D,D,Bm,Bm,Em,Em,Em,Em,Am,Am,Am,Am,B,B,Eb,Eb,Em,Em,Eb,Eb,G,G,G,G,C,C,C,C,D,D,D,D,D,D,D,D,G,G,G,G,Am,Am,Am,Am,D,D,D,D,C,C,G,G,Am,Am,D,D,G,G,G,G,Am,Am,Am,Am,F#m,F#m,F#m,F#m,Em,Em,D,D,C,C,C,C,C,C,Bm,Bm,Am,Am,Am,Am,G,G,G,G,Dm,Dm,Dm,Dm,G,G,G,G,C,C,C,C,Bm,Bm,D,D,Am,Am,Am,Am,D,D,D,D,G,G,Am,Am,G,G,G,G,C,C,C,C,C,C,F,C,C,C,C,C,C,C,C,C,C,Cm,Cm,Cm,Cm,Cm,Cm,Cm,G,G,G,G,G,G,G,G,C,C,C,C,D,D,D,D,Bm,Bm,D,D,G,G,G,G,C,C,C,C,Bm,Bm,Bm,Bm,Eb,Eb,Eb,Eb,D,G,G,G,G,C,C,C,D,D,D,D,Bm,Bm,Bm,Bm,Em,Em,Em,Em,Am,Am,Am,Am,B,B,Eb,Eb,Em,Em,B,B,G,G,G,G,C,C,C,C,D,D,D,D,Bm,Bm,Bm,Bm,Em,Em,Em,Em,Em,Em,Em,Em,Em,Em,Em,Em,A,A,Am,Am,G,G,D,D,G,G,G,G,G,G,G,G,G,G,G,G,G,C,C,C,C,A,F#,F#,G,G,G,G,G,C,C,C,C,C,C,G,C,C,Am,Am,G,G,G,G,D,D,D,D,G,G,G,G,G,G,C,C,B,B,Bm,Bm,D,D,A,A,D,D,D,D,G,G,G,G,G,G,G,G,G,D,D,D,D,G,G,G,G,C,C,C,C,Bm,Bm,Bm,D,D,Am,Am,G,G,D,D,D,Em,Em,Eb,G,G,D,D,C,C,C,C,A,D,D,D,D,Eb,Gm,Gm,Gm,Gm,D,D,G,G,Am,Am,C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,Am,Am,Am,Am,D,D,D,G,G,G,G,G,G,G,G,C,C,D,D,D,D,D,D,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G"
"曲婉婷 (Wanting Qu)"	"我的歌聲裡 (You Exist in My Song)"	"4"	"B,B,B,Db,Db,Db,Db,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,B,B,B,B,F#,Db,Db,Db,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,Db,Bbm,Bbm,Bbm,Bbm,Ebm,Ebm,Ebm,Ebm,Db,Db,Db,Db,Db,B,B,B,B,F#,Bbm,Bbm,Bbm,Bbm,Abm,Abm,Abm,Abm,Db,Db,Db,Db,F#,F#,F#,F#,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Ebm,Ebm,Ebm,Ebm,Db,Db,Db,Db,B,B,B,B,B,B,B,B,Db,Db,Db,Db,Db,Db,Db,Db,Db,B,B,B,B,Db,Db,Db,Db,F#,F#,Db,Bbm,Ebm,Ebm,Ebm,Ebm,B,B,B,B,Db,Db,Db,Db,F#,F#,F#,F#,F#,E,E,E,E,B,B,B,B,B,B,Db,Db,Db,Db,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,B,B,B,B,Db,Db,Db,Db,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,Db,Db,Db,Db,Ebm,Ebm,Ebm,Ebm,F#,F#,F#,F#,B,B,B,B,F#,F#,F#,F#,F#,F#,F#,F#,Db,Db,Db,Db,F#,F#,F#,F#,Bbm,Bbm,Db,Db,Ebm,Ebm,Ebm,Ebm,F#,F#,F#,F#,B,B,B,B,B,B,B,B,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,B,B,B,B,Db,Db,Db,Db,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,B,B,B,B,F#,F#,Db,Db,F#,F#,F#,F#,Dbm,Dbm,Dbm,Dbm,B,B,B,B,Db,Db,Db,Db,F#,F#,Bbm,Bbm,Ebm,Ebm,Ebm,Ebm,B,B,B,B,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,E,E,E,E,E,E,E,E,B,B,B,B,B,B,B,B,E,E,E,E,E,E,E,E,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Db,Db,Db,Db,Eb,Eb,Eb,Eb,Abm,Abm,Eb,Eb,Fm,Fm,Fm,Fm,Db,Db,Db,Db,Ebm,Ebm,Ebm,Ebm,Ab,Ab,Ab,Ab,F#,F#,Ab,Ab,Db,Db,Db,Db,Eb,Eb,Eb,Eb,Ab,Ab,Ab,Ab,Fm,Fm,Fm,Fm,Db,Db,Db,Db,Eb,Eb,Eb,Eb,Ab,Ab,Ab,Ab,Ab,Ab,Bbm,Bbm,Eb,Eb,Ebm,Ebm,Ab,Ab,Ab,Ab,F,F,F,F,Db,Db,Db,Db,Abm,Fm,Fm,Fm,Fm,Ebm,Ebm,Ebm,Ebm,Ab,Ab,Ab,Ab,Ab,Ab,F#,Db,Db,Db,Db,Fm,Fm,Db,Db,Fm,Fm,E,E,E,E,Ebm,Ebm,Ebm,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab"
"A-Lin"	"幸福了 然後呢 (緯來戲劇台「小媳婦女王」片頭曲"	"5"	"Db,Db,Db,Db,Db,Db,Db,F,F,F,F,F,F,F,F,Bbm,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Db,Db,Db,Db,Db,Db,Db,Db,F,F,F,F,F,F,F,F,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Db,Db,Db,Db,Db,Db,Db,Db,Fm,Fm,Fm,Fm,Fm,Fm,Fm,Fm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Cm,Cm,Db,Db,Eb,Eb,Eb,Eb,F,F,F,F,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,Db,Db,Db,Db,F,F,F,F,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,F#,F#,F#,F#,Ab,Ab,Ebm,Ebm,Ebm,Ebm,Ab,Ab,Db,Db,Db,Db,Db,Db,F#,F#,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,Db,Db,Db,Db,F#,F#,F#,F#,Ab,Ab,Ab,Ab,F#,F#,Ab,Ab,Db,Db,Db,Db,F#,F#,F#,F#,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,Db,Db,Db,Db,F#,F#,F#,F#,Ab,Ab,Ab,Ab,Am,Am,Am,Am,Bbm,Bbm,Bbm,Bbm,Db,Db,Ab,Ab,Bb,Eb,Eb,Eb,Eb,Eb,Eb,Bbm,Db,Db,Db,Db,Db,Db,Db,Db,F,F,F,F,F,F,F,F,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,G,G,Db,Db,Eb,Eb,Eb,Eb,Db,Db,Db,Db,Db,Db,Db,Db,F,F,F,F,F,F,F,F,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Db,Db,Db,Db,Db,Db,Ebm,Ebm,Fm,Fm,Fm,Fm,Fm,Fm,Fm,Fm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,G,G,Db,Db,Ebm,Ebm,Ebm,Ebm,F,F,F,F,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,Db,Db,Db,Db,F,F,F,F,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,F#,F#,F#,F#,Eb,Eb,Ebm,Ebm,F#,F#,Ab,Ab,Db,Db,Db,Db,F#,F#,F#,F#,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,Db,Db,Db,Db,F#,F#,F#,F#,Ab,Ab,Ab,Ab,F#,F#,Ab,Ab,Db,Db,Db,Db,Db,Db,F#,F#,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,Db,Db,Db,Db,F#,F#,F#,F#,Ab,Ab,Ab,Ab,Fm,Fm,Fm,Fm,F#,F#,F#,F#,Db,Db,Ab,Ab,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,F#,F#,F#,F#,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,Ebm,Ebm,Ebm,Ebm,F#,F#,F#,F#,F#,F#,F#,F#,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Db,Db,Db,Db,Db,Db,F#,F#,Db,Db,Db,Db,Db,Db,F#,F#,Db,Db,Db,Db,Db,Db,Db,Db,Ab,Ab,Ab,Ab,F#,F#,Ab,Ab,Db,Db,Db,Db,Db,Db,F#,F#,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,Db,Db,Db,Db,F#,F#,F#,F#,Ab,Ab,Ab,Ab,F,F,F,F,Bbm,Bbm,Bbm,Bbm,Ab,Ab,Ab,Ab,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,Ebm,Ebm,Bb,Bb,Bb,Bb,Bbm,Bbm,Bbm,Bbm,Db,Db,Db,Db,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,Bbm,Bbm,Bbm,Bbm,Db,Db,Db,Db,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,Bbm,Bbm,Bbm,Bbm,Db,Db,Db,Db,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,Bbm,Bbm,Bbm,Bbm,Db,Db,Db,Db,F#,F#,F#,F#,Ebm,Ebm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,Ebm,Ebm,Ebm,Ebm,Db,Db,Db,Db,Db,Db,Db,Db,Ebm,Ebm,F#,F#,F#,F#,F#,F#,Db,Db,Db,Db,Db,Db,Db,Db,F#,F#,F#,F#,Bb,Bb,Ebm,Ebm,Ebm,Ebm,Ebm,Ebm"
"周杰倫 (Jay Chou)"	"說好的幸福呢"	"6"	"G,G,C,C,C,C,C,C,C,C,C,C,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,Am,Am,Dm,Dm,Dm,Dm,Em,Em,Em,Em,Em,Em,Em,Em,A,A,A,A,A,A,A,A,G,G,G,G,F,F,F,F,C,C,G,G,Am,Am,Em,Em,Em,Em,Em,Em,D,D,D,D,D,D,E,E,Am,Am,Em,Em,Em,Em,Em,Em,F,F,F,F,C,C,Bm,Bm,Am,Am,A,A,G,G,G,G,Dm,Dm,Dm,Dm,Dm,Dm,G,G,F,F,F,F,F,F,F,F,F,F,Em,Em,Em,Em,Am,Am,Am,Am,Dm,Dm,Dm,C,C,C,C,C,C,F,C,C,G,G,G,G,B,B,F,F,F,F,F,F,F,F,Em,Em,Em,Em,G,Am,Am,Am,Am,Dm,Dm,Dm,Dm,Dm,G,G,C,C,C,C,C,C,Am,Am,Am,Am,Am,Am,F,F,F,F,Em,Em,Em,Em,Em,Am,Am,Am,Am,Dm,Dm,Dm,F,F,G,G,G,G,C,C,C,C,C,C,C,C,Am,Am,Am,Am,Em,Em,Em,Em,Dm,Dm,Em,Em,Em,Em,Em,Em,Am,Am,Am,Am,Am,Am,Am,Am,Em,Em,Em,Em,F,F,F,F,C,C,Bm,Bm,Am,Am,Am,Am,Em,Em,Em,Em,Dm,Dm,Dm,Dm,D,D,E,E,Am,Am,Am,Am,Em,Em,Em,Em,F,F,F,F,C,C,Bm,Bm,Am,Am,Am,Am,G,G,G,G,Am,Am,Am,Am,G,G,G,G,F,F,F,F,F,F,F,F,Em,Em,Em,Em,Am,Am,Am,Am,Dm,Dm,Dm,Dm,Em,Em,Em,Em,F,F,F,F,G,G,Gm,Gm,Ab,Ab,Gm,Gm,F#,F#,F#,F#,F#,F#,Ab,Ab,Ab,Ab,Ab,Ab,Db,Db,Bbm,Bbm,Ebm,Ebm,Ebm,Ebm,Ab,Ab,Ab,Ab,Db,Db,Db,Db,Ebm,Ebm,Db,Db,Db,Db,F#,F#,F#,F#,F#,F#,Fm,Fm,Fm,Fm,Bbm,Bbm,Bbm,Bbm,Ebm,Ebm,Ebm,Ebm,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,F#,F#,F#,F#,F#,F#,F#,F#,Fm,Fm,Fm,Fm,Bbm,Bbm,Bbm,Bbm,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,Db,Db,Ebm,Ebm,Db,Db,Db,Db,F#,F#,F#,F#,F#,F#,Fm,Fm,Fm,Fm,Bbm,Bbm,Bbm,Bbm,Ebm,Ebm,Ebm,Ebm,Ab,Ab,Ab,Ab,Db,Db,Db,Db,Db,Db,Db,Db,F#,F#,F#,F#,F#,F#,F#,F#,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,Db,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F#,F"
"林俊傑 (JJ Lin)"	"修煉愛情"	"7"	"Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Ab,Ab,Ab,Ab,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Bb,Bb,Bb,Bb,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Cm,Cm,Cm,Cm,Gm,Gm,Gm,Gm,Fm,Fm,Fm,Fm,Fm,Fm,Fm,Fm,Cm,Cm,Cm,Cm,Gm,Gm,Gm,Gm,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Fm,Fm,Fm,Fm,Fm,Bb,Bb,Bb,Bb,Gm,Bb,Bb,Bb,Bb,Eb,Eb,Eb,Eb,Ab,Ab,Ab,Ab,Bb,Bb,Bb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Ab,Ab,Ab,Ab,Ab,Bb,Bb,Bb,Bb,Bb,Bb,Eb,Eb,Eb,Eb,Eb,Fm,Fm,Fm,Fm,Ab,Eb,Eb,Eb,Bb,Bb,Bb,Bb,Bb,Bb,Eb,Eb,Ab,Ab,Ab,Ab,Bb,Bb,Bb,Eb,Eb,Bb,Bb,Eb,Eb,Cm,Cm,Fm,Fm,Fm,Fm,Fm,Fm,Bb,Bb,Bb,Bb,Eb,Eb,Eb,Db,Db,Eb,Eb,Ab,Ab,Ab,Ab,Ab,Ab,Bb,Bb,Gm,Gm,Gm,Gm,Eb,Eb,Eb,Eb,Eb,Ab,Ab,Ab,Ab,Bb,Bb,Bb,Bb,Eb,Eb,Fm,Fm,Eb,Eb,Eb,Eb,Eb,Bb,Bb,Bb,Bb,Bb,Bb,Eb,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Gm,Gm,Gm,Gm,Gm,Gm,Gm,Gm,Ab,Ab,Eb,Eb,Eb,Eb,Eb,Eb,Cm,Cm,Cm,Cm,Cm,Cm,Gm,Gm,Fm,Fm,Fm,Fm,Fm,Fm,Fm,Fm,Cm,Cm,Cm,Cm,Gm,Gm,Gm,Gm,Fm,Fm,Fm,Fm,Fm,Fm,Fm,Fm,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Gm,Gm,Gm,Gm,Cm,Cm,Cm,Cm,Fm,Fm,Fm,Fm,Bb,Bb,Bb,Bb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Gm,Gm,Gm,Gm,Cm,Cm,Ab,Ab,Eb,Eb,Fm,Fm,Ab,Ab,Ab,Ab,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Ab,Ab,Ab,Ab,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Bb,Cm,Cm,Cm,Cm,Fm,Fm,Fm,Fm,Fm,Fm,Bb,Bb,Bb,Bb,Eb,Eb,Eb,Eb,Eb,Eb,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Gm,Gm,Gm,Gm,Cm,Cm,Bb,Bb,Ab,Ab,Ab,Ab,Ab,Ab,Eb,Eb,Cm,Cm,Cm,Cm,Cm,Bb,Bb,Bb,Bb,F,F,F,F,F,F,F,Cm,Cm,Cm,Cm,Cm,Bb,Bb,Bb,Bb,F,F,F,F,F,F,F,Ab,Ab,Ab,Ab,Bb,Bb,Bb,Bb,G,G,G,G,Cm,Cm,Eb,Eb,Fm,Fm,Fm,Fm,Ab,Ab,Ab,Ab,Bb,Bb,Bb,Bb,B,B,B,B,A,A,B,B,A,A,A,A,B,B,B,B,B,B,B,B,A,A,E,E,F#m,F#m,F#m,F#m,B,B,B,B,B,B,E,E,Bm,Bm,E,E,A,A,A,A,F#,F#,B,B,Abm,Abm,Abm,Abm,E,E,E,E,F#m,F#m,F#m,F#m,B,B,B,B,E,E,A,A,E,E,E,E,A,A,A,A,B,B,Abm,Abm,Abm,Abm,Abm,Abm,Dbm,Dbm,Dbm,Dbm,F#m,F#m,F#m,F#m,B,B,B,B,B,B,B,B,B,B,B,B,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A"
"周杰倫 (Jay Chou)"	"明明就"	"8"	"F#m,F#m,F#m,F#m,D,D,D,D,E,E,E,E,Dbm,Dbm,F#m,F#m,F#m,F#m,F#m,Bm,Bm,Bm,Bm,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,F#m,F#m,F#m,F#m,B,B,B,B,B,E,E,E,E,E,E,E,A,A,A,A,B,B,B,B,A,Dm,Dm,Dm,A,A,Dbm,E,E,A,A,A,B,B,B,B,E,E,E,E,E,E,E,F#m,F#m,F#m,F#m,Db,Db,Db,Db,Db,Db,F#m,F#m,F#m,F#m,E,E,E,E,Bm,Bm,Bm,Bm,Bm,Bm,Bm,Bm,E,E,E,E,E,E,E,E,D,D,D,D,E,E,E,E,E,E,E,E,F#m,F#m,F#m,F#m,D,D,D,D,D,D,A,A,A,A,A,A,Bm,Bm,A,A,D,D,D,D,D,D,E,E,Dbm,Dbm,Dbm,Dbm,F#m,F#m,F#m,F#m,F#m,F#m,F#m,F#m,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Dm,Dm,Em,Em,A,A,A,A,E,E,E,E,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,Dm,Dm,Dm,Dm,A,A,A,A,A,A,A,A,B,B,B,B,B,E,E,E,E,E,E,A,Abm,Abm,Abm,Abm,Db,Db,Db,Db,F#m,F#m,F#m,F#m,E,E,E,E,Bm,Bm,Bm,Bm,F#m,F#m,F#m,F#m,F#m,F#m,E,E,E,E,E,A,A,A,A,D,E,E,E,E,E,E,E,E,F#m,F#m,F#m,F#m,Bm,Bm,D,D,D,D,D,D,A,A,A,A,Bm,Bm,A,A,A,A,D,D,D,E,E,D,Dbm,Dbm,Dbm,Dbm,F#m,F#m,F#m,F#m,F#m,F#m,F#m,F#m,D,D,A,A,A,A,A,A,A,A,A,A,D,D,D,D,E,E,E,E,E,E,E,E,A,A,A,A,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,E,E,E,E,Dbm,Dbm,E,E,A,A,E,E,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Am,Am,Am,Am,Am,Am,Am,Am,Dm,Dm,Dm,Dm,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A"
